# IRIS catalog migration inventory v1
cloud-devops	amplify	ops/amplify.go	migrated
cloud-devops	ampx	ops/ampx.go	migrated
cloud-devops	ansible	ops/ansible.go	migrated
cloud-devops	ansible-config	ops/ansible_config.go	migrated
cloud-devops	ansible-doc	ops/ansible_doc.go	migrated
cloud-devops	ansible-galaxy	ops/ansible_galaxy.go	migrated
cloud-devops	ansible-lint	ops/ansible_lint.go	migrated
cloud-devops	ansible-playbook	ops/ansible_playbook.go	migrated
cloud-devops	appwrite	ops/appwrite.go	migrated
cloud-devops	arch	ops/arch.go	migrated
cloud-devops	arduino-cli	ops/arduino_cli.go	migrated
cloud-devops	argo	ops/argo.go	migrated
cloud-devops	asdf	ops/asdf.go	migrated
cloud-devops	atlas	ops/atlas.go	migrated
cloud-devops	aws	ops/aws.go	migrated
cloud-devops	aws-vault	ops/aws_vault.go	migrated
cloud-devops	bit	ops/bit.go	migrated
cloud-devops	bosh	ops/bosh.go	migrated
cloud-devops	capacitor	ops/capacitor.go	migrated
cloud-devops	cdk	ops/cdk.go	migrated
cloud-devops	cf	ops/cf.go	migrated
cloud-devops	checkov	ops/checkov.go	migrated
cloud-devops	circleci	ops/circleci.go	migrated
cloud-devops	cloudflared	ops/cloudflared.go	migrated
cloud-devops	coda	ops/coda.go	migrated
cloud-devops	command	ops/command.go	migrated
cloud-devops	copilot	ops/copilot.go	migrated
cloud-devops	cosign	ops/cosign.go	migrated
cloud-devops	dapr	ops/dapr.go	migrated
cloud-devops	datree	ops/datree.go	migrated
cloud-devops	deployctl	ops/deployctl.go	migrated
cloud-devops	direnv	ops/direnv.go	migrated
cloud-devops	docker	ops/docker.go	migrated
cloud-devops	docker-compose	ops/docker.go	migrated
cloud-devops	doctl	ops/doctl.go	migrated
cloud-devops	doppler	ops/doppler.go	migrated
cloud-devops	eas	ops/eas.go	migrated
cloud-devops	fastly	ops/fastly.go	migrated
cloud-devops	firebase	ops/firebase.go	migrated
cloud-devops	flyctl	ops/flyctl.go	migrated
cloud-devops	fnm	ops/fnm.go	migrated
cloud-devops	gcloud	ops/gcloud.go	migrated
cloud-devops	gh	ops/gh.go	migrated
cloud-devops	gpg	ops/gpg.go	migrated
cloud-devops	hasura	ops/hasura.go	migrated
cloud-devops	helm	ops/helm.go	migrated
cloud-devops	helmfile	ops/helmfile.go	migrated
